Date,High,Low,Open,Close,Volume
30/09/2024,33.9,33.25,33.8,33.45,1030900
27/09/2024,33.3,32.6,32.8,33.25,2054600
26/09/2024,33.0,32.2,32.2,32.5,1109200
25/09/2024,32.15,31.95,32.15,32.15,648200
24/09/2024,32.0,31.5,32.0,31.9,445600
23/09/2024,32.3,31.95,32.3,31.95,416900
20/09/2024,32.35,32.1,32.35,32.15,580700
19/09/2024,32.1,31.5,31.65,32.1,509400
18/09/2024,31.95,31.35,31.6,31.65,629000
17/09/2024,31.5,30.8,31.1,31.5,432400
16/09/2024,31.85,31.1,31.7,31.1,426000
13/09/2024,32.0,31.5,31.7,31.55,478500
12/09/2024,32.2,31.85,32.15,31.85,307800
11/09/2024,32.15,31.65,32.0,31.95,395400
10/09/2024,32.3,31.6,31.6,32.0,821100
09/09/2024,31.75,31.3,31.35,31.55,386900
06/09/2024,31.6,31.0,31.0,31.35,455700
05/09/2024,31.9,31.2,31.3,31.2,615000
04/09/2024,31.8,31.35,31.6,31.4,653000
30/08/2024,32.35,31.85,32.25,31.9,716500
29/08/2024,32.4,32.0,32.0,32.25,406800
28/08/2024,32.55,31.95,32.5,32.2,966700
27/08/2024,32.7,32.45,32.55,32.5,524700
26/08/2024,33.4,32.55,33.35,32.55,613700
23/08/2024,33.55,32.4,32.6,32.85,1411100
22/08/2024,33.0,32.5,33.0,32.6,553400
21/08/2024,33.05,32.55,32.8,32.8,715600
20/08/2024,33.15,32.3,32.55,33.0,1173200
19/08/2024,32.85,32.3,32.6,32.55,733200
16/08/2024,32.5,31.25,31.4,32.4,1226900
15/08/2024,31.8,31.2,31.75,31.2,665700
14/08/2024,32.2,31.7,31.7,31.8,798800
13/08/2024,32.0,31.6,31.75,31.7,557400
12/08/2024,31.95,31.5,31.9,31.75,547000
09/08/2024,32.0,31.45,31.6,31.7,711500
08/08/2024,31.8,31.1,31.15,31.3,1051500
07/08/2024,31.4,30.85,30.85,31.3,726800
06/08/2024,31.1,30.1,30.65,30.85,1104100
05/08/2024,32.05,30.15,31.1,30.15,1995400
02/08/2024,32.4,30.2,31.15,32.4,1365900
01/08/2024,33.85,31.6,33.5,31.6,2494000
31/07/2024,34.05,33.25,34.05,33.9,973700
