Date,High,Low,Open,Close,Volume
10/07/2024,45.7,44.8,45.6,44.9,5779100
09/07/2024,46.75,45.25,46.75,45.8,6788500
08/07/2024,47.15,45.7,46.4,46.25,4890800
05/07/2024,46.35,45.05,45.15,45.7,6311600
04/07/2024,44.95,44.25,44.6,44.85,3048500
03/07/2024,46.1,44.45,45.1,44.5,5761800
02/07/2024,45.4,44.15,45.4,45.0,4077400
01/07/2024,45.8,43.75,45.35,45.4,4487600
28/06/2024,46.5,44.45,44.5,45.25,7540300
27/06/2024,45.45,43.75,45.1,44.4,3586500
26/06/2024,45.9,44.4,44.4,45.0,5953800
25/06/2024,44.2,41.2,41.8,44.2,6661000
24/06/2024,43.6,41.25,43.4,41.35,7305200
21/06/2024,44.1,43.0,43.4,43.4,4039600
20/06/2024,49.95,48.0,49.55,48.65,8826200
19/06/2024,50.3,49.35,49.7,49.55,5459200
18/06/2024,51.1,49.1,50.2,49.3,5439600
17/06/2024,51.1,48.75,49.0,50.2,7839300
14/06/2024,51.6,48.0,49.0,48.0,8807300
13/06/2024,50.0,48.35,49.0,49.0,4169100
12/06/2024,48.8,47.9,48.65,48.65,4345000
11/06/2024,49.0,47.55,48.25,48.55,8422100
10/06/2024,47.3,45.25,45.3,47.3,11113000
07/06/2024,44.9,42.6,42.9,44.25,12612500
06/06/2024,43.3,42.3,42.5,42.65,3679100
05/06/2024,43.45,42.3,43.2,42.3,3742900
04/06/2024,43.6,42.85,43.25,42.9,4884400
03/06/2024,43.65,42.6,43.1,42.8,4585300
31/05/2024,43.1,42.35,42.45,42.65,3627300
30/05/2024,42.3,41.5,41.9,42.25,3323400
29/05/2024,43.15,41.95,42.0,42.3,5664200
28/05/2024,42.15,41.65,41.85,42.0,3363300
27/05/2024,41.85,41.35,41.4,41.75,1962600
24/05/2024,43.35,40.45,42.35,41.35,9052200
23/05/2024,43.25,42.3,43.15,42.65,6652900
22/05/2024,44.95,42.85,44.95,43.15,7222100
21/05/2024,44.15,42.95,43.8,44.15,4989000
20/05/2024,44.65,43.35,43.4,44.0,5985000
17/05/2024,43.3,41.75,41.9,43.1,6187800
16/05/2024,42.35,41.85,42.1,41.9,3012100
15/05/2024,42.35,41.2,41.4,41.85,4832700
14/05/2024,41.95,41.05,41.6,41.25,2852200
13/05/2024,42.65,40.8,42.45,41.6,5517500
10/05/2024,43.1,42.1,42.95,42.3,2027800
09/05/2024,43.5,42.2,42.5,42.95,3969400
08/05/2024,43.45,41.9,42.35,42.55,2915500
07/05/2024,43.0,42.2,42.6,42.4,1943500
06/05/2024,42.5,40.4,40.8,42.5,3109400
03/05/2024,40.9,40.0,40.55,40.1,1307300
02/05/2024,41.2,40.0,41.2,40.55,852300
26/04/2024,41.45,40.1,40.35,41.2,1636800
25/04/2024,40.85,40.15,40.5,40.8,843700
24/04/2024,40.9,39.65,39.65,40.8,1229400
23/04/2024,39.9,39.05,39.55,39.65,1473500
22/04/2024,39.55,38.4,38.5,39.55,1734800
19/04/2024,38.7,37.5,37.9,38.05,2185900
17/04/2024,38.9,38.15,38.4,38.35,1602100
16/04/2024,38.8,37.1,38.75,38.25,2873600
15/04/2024,41.7,38.75,41.6,38.75,2556200
12/04/2024,41.85,41.0,41.4,41.65,1154600
11/04/2024,41.0,40.55,40.7,41.0,1344800
10/04/2024,42.0,41.15,42.0,41.15,726200
09/04/2024,41.5,40.55,41.0,41.45,1168100
08/04/2024,41.9,40.9,41.5,40.9,1966100
05/04/2024,42.45,41.5,42.0,41.5,2443300
04/04/2024,43.3,42.5,43.1,42.6,1719900
03/04/2024,44.4,43.2,43.2,43.2,4286900
02/04/2024,43.4,42.25,42.5,43.4,1965600
01/04/2024,43.0,42.4,42.5,42.7,1484800
29/03/2024,43.55,42.75,43.5,42.9,1768300
28/03/2024,43.95,43.2,43.95,43.55,1562300
27/03/2024,43.85,42.75,43.1,43.55,2655000
26/03/2024,43.0,42.0,42.2,42.75,1454000
25/03/2024,43.1,42.2,42.8,42.45,2771300
22/03/2024,43.85,42.8,43.4,43.0,2650000
21/03/2024,43.35,42.85,43.0,43.1,1987600
20/03/2024,42.95,41.9,42.3,42.9,1391500
19/03/2024,43.2,42.0,42.3,42.2,1186800
18/03/2024,44.2,41.2,44.15,42.2,5846000
15/03/2024,44.75,43.55,44.6,44.2,3803700
14/03/2024,45.95,44.0,44.3,45.0,5016800
13/03/2024,44.9,43.45,43.9,44.2,3417500
12/03/2024,44.0,42.0,42.25,43.65,7587900
11/03/2024,43.2,41.75,42.35,42.25,3762400
08/03/2024,43.0,41.6,42.1,42.35,3729500
07/03/2024,42.35,41.7,42.0,42.1,2070600
06/03/2024,42.8,41.75,42.5,41.8,1801600
05/03/2024,42.95,42.0,42.6,42.9,2524700
04/03/2024,43.7,42.45,43.1,42.5,2486000
01/03/2024,43.5,41.65,41.95,42.9,4339900
29/02/2024,43.2,41.35,43.0,41.95,5065500
28/02/2024,43.5,42.35,42.9,42.7,2674200
27/02/2024,43.0,42.4,43.0,42.7,2109900
26/02/2024,43.0,40.4,40.55,42.7,4837000
23/02/2024,42.4,40.5,41.35,40.5,4621200
22/02/2024,41.7,41.15,41.25,41.3,1614700
21/02/2024,42.2,40.9,41.55,41.25,2841400
20/02/2024,41.5,40.65,41.5,41.35,2825300
19/02/2024,42.3,41.05,41.45,41.3,2722100
16/02/2024,41.45,40.0,40.0,41.45,3539200
15/02/2024,41.5,40.05,41.0,40.2,3097700
07/02/2024,41.4,40.6,40.6,40.75,2906800
06/02/2024,40.7,39.5,39.7,40.4,3401400
05/02/2024,40.5,38.4,38.4,39.7,6651900
02/02/2024,38.5,37.7,37.7,38.3,2022300
01/02/2024,37.85,36.8,37.0,37.55,1638000
31/01/2024,38.35,37.2,38.35,37.2,2401200
30/01/2024,38.2,37.5,38.0,38.0,3976700
29/01/2024,38.65,38.25,38.35,38.3,908000
26/01/2024,38.7,38.2,38.5,38.25,1207300
25/01/2024,38.75,38.45,38.7,38.45,691200
24/01/2024,39.4,38.65,38.75,38.7,1786700
23/01/2024,39.15,38.3,38.6,38.75,1565500
22/01/2024,38.95,38.05,38.95,38.45,1493300
19/01/2024,39.15,38.4,38.9,38.4,1508900
18/01/2024,39.05,38.5,39.05,38.75,1117300
17/01/2024,39.75,38.8,39.0,38.8,2385400
16/01/2024,38.8,38.05,38.4,38.75,1398900
15/01/2024,39.3,38.4,38.9,38.4,1645900
12/01/2024,39.2,38.15,38.7,38.4,3187900
11/01/2024,39.7,38.8,39.7,39.05,2246300
10/01/2024,40.65,38.85,38.85,39.3,4638700
09/01/2024,38.8,38.0,38.1,38.7,3356600
08/01/2024,38.7,37.9,38.3,37.9,2243900
05/01/2024,39.0,38.2,38.6,38.3,2103100
04/01/2024,39.3,38.5,38.9,38.5,4744200
03/01/2024,38.85,38.0,38.0,38.6,3303800
02/01/2024,38.45,37.6,37.85,38.05,3026800
29/12/2023,38.3,37.55,37.85,37.6,2614800
28/12/2023,38.45,37.7,37.75,37.75,2512200
27/12/2023,38.8,37.75,38.55,37.75,3764600
26/12/2023,39.2,38.2,39.2,38.4,2998800
25/12/2023,39.25,37.7,37.8,38.85,4821900
22/12/2023,37.8,37.05,37.75,37.4,2384300
21/12/2023,37.95,36.85,37.1,37.45,3517800
20/12/2023,37.25,36.1,36.15,37.2,3836000
19/12/2023,35.9,34.85,35.1,35.9,1701100
18/12/2023,35.7,34.9,35.6,34.9,2185300
15/12/2023,36.2,35.3,35.8,35.6,1428900
14/12/2023,36.8,35.8,36.7,35.8,1212900
13/12/2023,36.95,36.15,36.45,36.35,3046700
12/12/2023,36.5,35.95,36.1,36.2,1421400
11/12/2023,36.3,35.6,36.2,36.1,2013400
08/12/2023,36.9,35.9,36.9,36.1,2230300
07/12/2023,37.55,35.75,37.55,36.8,4552100
06/12/2023,37.95,36.8,36.8,37.5,2576400
05/12/2023,37.5,36.8,37.4,36.95,3180500
04/12/2023,37.6,37.05,37.2,37.35,3409300
01/12/2023,36.5,35.55,35.8,36.25,3282700
30/11/2023,36.7,35.4,36.25,35.5,3154700
29/11/2023,36.5,35.75,36.25,36.1,2612600
28/11/2023,36.0,34.5,34.8,36.0,5259300
27/11/2023,35.2,34.3,34.35,34.65,2722300
24/11/2023,33.95,32.6,33.8,33.95,3168900
23/11/2023,35.85,33.5,35.75,33.5,3167100
22/11/2023,35.3,34.35,34.35,35.3,3205100
21/11/2023,34.5,34.05,34.5,34.35,1479300
20/11/2023,34.15,32.9,32.9,33.9,2084000
17/11/2023,34.8,33.5,34.5,33.5,3344300
16/11/2023,34.8,33.6,33.8,34.4,2138600
15/11/2023,35.05,33.85,35.0,33.9,2234600
14/11/2023,34.5,33.6,33.9,34.05,2634700
13/11/2023,33.95,32.8,33.05,33.4,1997900
10/11/2023,33.95,32.8,33.0,33.05,3117800
09/11/2023,34.6,33.55,33.8,33.55,3088700
08/11/2023,33.8,31.55,31.85,33.75,2679700
07/11/2023,32.5,30.5,31.0,31.85,2330300
06/11/2023,31.5,30.7,31.5,31.3,1543200
03/11/2023,31.7,30.5,31.6,30.9,2391100
02/11/2023,30.95,29.5,29.6,30.95,2719700
01/11/2023,29.0,27.4,27.85,28.95,2958900
31/10/2023,30.4,27.9,30.1,27.9,4145500
30/10/2023,31.8,30.0,31.75,30.0,1524100
27/10/2023,32.2,30.5,32.0,31.8,2084100
26/10/2023,33.5,31.8,33.5,31.8,4776300
25/10/2023,35.15,34.05,34.05,34.15,2090000
24/10/2023,34.45,33.2,34.45,33.95,2269100
23/10/2023,35.8,33.8,35.55,34.1,1945700
20/10/2023,35.45,33.05,35.0,35.35,3702800
19/10/2023,35.65,34.5,35.05,34.8,3572500
18/10/2023,37.5,34.2,37.5,35.05,6444100
17/10/2023,40.25,36.7,39.8,36.7,4224700
16/10/2023,41.2,39.4,40.75,39.4,3812800
13/10/2023,40.8,39.3,39.5,40.75,3548800
12/10/2023,41.35,39.8,40.9,40.1,4006200
11/10/2023,40.65,39.5,40.35,40.65,3837800
10/10/2023,42.2,40.0,41.25,40.0,5360400
09/10/2023,40.55,39.55,39.7,40.55,5696000
06/10/2023,39.1,37.5,37.95,39.1,3301500
05/10/2023,39.3,37.9,38.2,37.9,4122500
04/10/2023,38.75,36.5,36.6,37.9,3051400
03/10/2023,39.0,36.8,38.7,37.15,6004000
02/10/2023,40.6,38.6,38.7,39.25,4796500
29/09/2023,39.4,37.8,39.4,38.8,3115400
28/09/2023,39.8,37.55,37.55,38.7,4987200
27/09/2023,37.5,35.65,36.5,37.5,3628500
26/09/2023,37.7,36.0,37.7,36.0,3763600
25/09/2023,39.6,36.0,37.6,36.0,5748700
22/09/2023,39.4,37.45,38.8,38.2,5545400
21/09/2023,40.65,39.4,39.9,39.65,4021300
20/09/2023,40.6,38.75,38.8,39.5,4310400
19/09/2023,38.8,37.4,37.9,38.4,3099400
18/09/2023,38.95,37.1,38.6,37.4,3297900
15/09/2023,39.5,38.0,39.0,38.55,2381800
14/09/2023,39.5,37.9,38.2,38.55,4043200
13/09/2023,39.95,37.8,38.95,38.0,4227300
12/09/2023,38.5,37.15,37.7,38.4,3269900
11/09/2023,38.9,37.7,38.7,37.7,4770600
08/09/2023,38.1,35.05,35.3,38.1,8078300
07/09/2023,36.3,35.6,35.9,35.65,2286600
06/09/2023,36.15,35.25,35.95,35.75,2970300
05/09/2023,36.3,35.55,35.6,35.75,2737400
